Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
1035903	1566285336	913	1380456	7760.7599684657025	8805470.463979766	11734269.072320143	13313871341.537407	1035903	1566285336	913	1380456	7760.7599684657025	8805470.463979766	11734269.072320143	13313871341.537407	voice
1036817	1567667304	914	1381968	10167.200689554575	11533398.815472543	15372807.442606516	17438499008.994488	1036817	1567667304	914	1381968	10167.200689554575	11533398.815472543	15372807.442606516	17438499008.994488	voice
1037780	1569123360	963	1456056	8704.857366375938	9380817.110776346	13161744.337960418	14183795471.493835	1037780	1569123360	963	1456056	8704.857366375938	9380817.110776346	13161744.337960418	14183795471.493835	voice
1038681	1570485672	901	1362312	8359.918910907298	9637390.604106661	12640197.393291833	14571734593.409273	1038681	1570485672	901	1362312	8359.918910907298	9637390.604106661	12640197.393291833	14571734593.409273	voice
1039590	1571860080	909	1374408	9918.707802293002	11343662.754879847	14997086.197067019	17151618085.37833	1039590	1571860080	909	1374408	9918.707802293002	11343662.754879847	14997086.197067019	17151618085.37833	voice
1040455	1573167960	865	1307880	8180.529378738717	9839852.826307043	12368960.42065294	14877857473.37625	1040455	1573167960	865	1307880	8180.529378738717	9839852.826307043	12368960.42065294	14877857473.37625	voice
1041426	1574636112	971	1468152	8640.160351320103	9266825.575730061	13063922.451195994	14011440270.50385	1041426	1574636112	971	1468152	8640.160351320103	9266825.575730061	13063922.451195994	14011440270.50385	voice
1042336	1576012032	910	1375920	9824.040687947534	11252693.708255474	14853949.520176671	17014072886.882277	1042336	1576012032	910	1375920	9824.040687947534	11252693.708255474	14853949.520176671	17014072886.882277	voice
1043228	1577360736	892	1348704	8214.915943174583	9607657.320141405	12420952.906079968	14526777868.053804	1043228	1577360736	892	1348704	8214.915943174583	9607657.320141405	12420952.906079968	14526777868.053804	voice
1044194	1578821328	966	1460592	8920.0038394984	9642043.98465962	13487045.80532158	14578770504.805344	1044194	1578821328	966	1460592	8920.0038394984	9642043.98465962	13487045.80532158	14578770504.805344	voice
1045109	1580204808	915	1383480	8296.305929656932	9476004.364850083	12544014.56564128	14327718599.653326	1045109	1580204808	915	1383480	8296.305929656932	9476004.364850083	12544014.56564128	14327718599.653326	voice
1046019	1581580728	910	1375920	10618.195738051521	12205312.623869138	16054711.9559339	18454432687.290134	1046019	1581580728	910	1375920	10618.195738051521	12205312.623869138	16054711.9559339	18454432687.290134	voice
1046981	1583035272	962	1454544	8391.765816242703	9133076.264091061	12688349.914158966	13809211311.305685	1046981	1583035272	962	1454544	8391.765816242703	9133076.264091061	12688349.914158966	13809211311.305685	voice
1047899	1584423288	918	1388016	8941.895062459504	10207192.695050383	13520145.334438771	15433275354.91618	1047899	1584423288	918	1388016	8941.895062459504	10207192.695050383	13520145.334438771	15433275354.91618	voice
1048845	1585853640	946	1430352	9802.07558925179	10867714.557514582	14820738.290948708	16431984410.962048	1048845	1585853640	946	1430352	9802.07558925179	10867714.557514582	14820738.290948708	16431984410.962048	voice
1049754	1587228048	909	1374408	7945.595178402846	9175929.94599461	12013739.909745103	13874006078.343851	1049754	1587228048	909	1374408	7945.595178402846	9175929.94599461	12013739.909745103	13874006078.343851	voice
1050610	1588522320	856	1294272	10104.594850780713	12401855.60301253	15278147.414380439	18751605671.754944	1050610	1588522320	856	1294272	10104.594850780713	12401855.60301253	15278147.414380439	18751605671.754944	voice
1051538	1589925456	928	1403136	7908.844536286922	8961692.42025655	11958172.938865827	13550078939.427902	1051538	1589925456	928	1403136	7908.844536286922	8961692.42025655	11958172.938865827	13550078939.427902	voice
1052447	1591299864	909	1374408	8584.222504913958	9938877.032595357	12979344.427429905	15027582073.284182	1052447	1591299864	909	1374408	8584.222504913958	9938877.032595357	12979344.427429905	15027582073.284182	voice
1053365	1592687880	918	1388016	9593.764584231365	11008426.831447572	14505772.051357822	16644741369.14873	1053365	1592687880	918	1388016	9593.764584231365	11008426.831447572	14505772.051357822	16644741369.14873	voice
